frequency_thz,wavelength_um,epsilon_silver_real,epsilon_silver_imag,epsilon_pi_real,epsilon_pi_imag,pi_thickness_um,output_medium,epsilon_aperture_real,epsilon_aperture_imag,order_x,order_y,harmonics,full_modal_dimension,grid_x,grid_y,cascade,solver,symmetry_requested,shell_radial_mapping,runtime_seconds,reflectance,transmittance,absorptance,passivity_warning,reduced_dimension,symmetry_applied,symmetry,irrep,symmetry_invariance_residual,symmetry_magnetic_residual,symmetry_magnetic_modes_projected,shell_radial_mapping_requested,model,lattice,cell_length_x_um,cell_length_y_um,sites_per_cell,factorization,backend_factorization_scheme,minimum_mapping_jacobian,effective_radial_slope,study
2.05,146.24022341463416,-205980.56460458122,436573.3992480839,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.27178417801042,0.09750051606613783,0.8971750215001345,0.005324462433727639,False,3281,True,c2v,,3.552047411612892e-09,9.010561480571262e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.075,144.4782930120482,-205064.33741922182,429394.95205936866,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.576389531008317,0.0964013517984153,0.8982842722981395,0.005314375903445301,False,3281,True,c2v,,3.601781001644269e-09,1.0510847045405976e-07,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.1,142.75831333333332,-204145.26699496925,422381.5375780936,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,25.725625435006805,0.09615649211373606,0.8982386938661788,0.005604814020085058,False,3281,True,c2v,,3.4333215974935546e-09,1.0914627308165563e-07,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.125,141.0788037647059,-203223.5387125034,415527.7101633217,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,21.670050271000946,0.09675503364764498,0.897101052542129,0.006143913810225943,False,3281,True,c2v,,3.383512778338948e-09,1.1188713117436639e-07,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.1500000000000004,139.4383525581395,-202299.3354876661,408828.2724785561,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,22.323543225997128,0.09816520608532972,0.8949906659937049,0.006844127920965337,False,3281,True,c2v,,3.3826145080070016e-09,1.5025496731706678e-07,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.175,137.83561287356324,-201372.8377297527,402278.26113804925,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,22.153476364997914,0.10035053369896099,0.8920384749397555,0.0076109913612835145,False,3281,True,c2v,,3.3706293860255443e-09,1.6855507388769602e-07,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.2,136.26929909090907,-200444.22330290527,395872.9333379002,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,21.67211438000959,0.10328355738197155,0.8883504461934105,0.008365996424617883,False,3281,True,c2v,,3.294944686923622e-09,3.1770823061058215e-07,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.225,134.73818337078652,-199513.6674905545,389607.75439437886,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,21.840423278001253,0.10695258683376405,0.8839911090168342,0.009056304149401728,False,3281,True,c2v,,3.1877323091755043e-09,1.821354740233803e-07,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.25,133.24109244444446,-198581.34296285076,383478.3861188008,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,21.643374245992163,0.11136239379333245,0.878984064205386,0.009653542001281545,False,3281,True,c2v,,3.145150928180461e-09,1.3517704682468933e-07,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.2750000000000004,131.7769046153846,-197647.41974702687,377480.67596449325,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,22.301314885000465,0.116532043913564,0.8733205727253882,0.010147383361047813,False,3281,True,c2v,,3.1578127318057273e-09,9.790467009533109e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.3,130.34454695652175,-196712.06520062924,371610.64688698685,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,21.963133591998485,0.1224926136930228,0.8669688714958295,0.010538514811147759,False,3281,True,c2v,,3.127829799312792e-09,1.0260483660028121e-07,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.325,128.94299268817204,-195775.44398755426,365864.48786362936,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,21.801543413996114,0.1292863274965023,0.8598806182966908,0.010833054206806914,False,3281,True,c2v,,3.038397236329646e-09,9.487567249344433e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.35,127.57125872340426,-194837.71805682516,360238.5450233998,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,21.809943988002487,0.13696786033971076,0.8519933169852172,0.011038822675072057,False,3281,True,c2v,,3.087303156923268e-09,7.864517271025515e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.375,126.22840336842106,-193899.04662404227,354729.31334183284,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,21.909076502997777,0.1456084284082882,0.843228392987601,0.011163178604110868,False,3281,True,c2v,,3.010270928812244e-09,7.408033497438118e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.4000000000000004,124.91352416666665,-192959.58615543804,349333.42885972786,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,22.26458909099165,0.15530385902260832,0.8334841819170531,0.011211959060338561,False,3281,True,c2v,,2.987467518995791e-09,6.315103103748705e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.425,123.62575587628868,-192019.4903544686,344047.6613877204,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,21.896108158995048,0.1661892625992632,0.8226216085998639,0.011189128800872972,False,3281,True,c2v,,2.897436912124027e-09,6.249136390391787e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.45,122.36426857142857,-191078.91015087144,338868.90766188287,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,21.603734310992877,0.17846637216739364,0.8104366359774026,0.011096991855203853,False,3281,True,c2v,,2.9394585090344208e-09,6.607371853206774e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.475,121.12826585858586,-190137.99369211745,333794.1849183451,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,21.846845887004747,0.1924584260124686,0.7966046028410121,0.010936971146519259,False,3281,True,c2v,,2.82332567811626e-09,5.7015799277827916e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.5,119.9169832,-189196.88633718732,328820.62485747307,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,22.163613544995314,0.2087342289406006,0.7805541095137131,0.010711661545686368,False,3281,True,c2v,,2.7877855072111854e-09,5.426493889442527e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.5250000000000004,118.72968633663365,-188255.73065259864,323945.46797048725,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,21.88923463500396,0.228442840923097,0.7611254604337198,0.010431698643183274,False,3281,True,c2v,,2.7332505652373903e-09,5.210904281766488e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
