frequency_THz,T_paper,T_computed,T_difference,R_paper,R_computed,R_difference,A_paper,A_computed,A_difference
367.4757500463,0.0215458167,0.019282695411321306,-0.0022631212886786954,0.8967224436,0.898538467312317,0.0018160237123170386,0.0822310757,0.08217883727636169,-5.223842363831499e-05
369.9608314108,0.0044090305,0.0037409367276599937,-0.0006680937723400064,0.9118937583,0.9062584459778678,-0.005635312322132213,0.0837078353,0.09000061729447226,0.006292781994472252
372.3302678307,0.0048977424,0.005127155578406692,0.0002294131784066917,0.9114050465,0.9074308641967948,-0.0039741823032052315,0.084185923,0.08744198022479856,0.0032560572247985614
374.8153491951,0.0244780876,0.026479784437509746,0.0020016968375097463,0.8928021248,0.8881844291741225,-0.004617695625877438,0.0827304117,0.08533578638836771,0.0026053746883677037
377.1847856151,0.0631500664,0.0652049220186331,0.0020548556186330974,0.8570730412,0.8526595381884645,-0.004413503011535536,0.0797875166,0.08213553979290239,0.002348023192902393
379.5516521473,0.1179707835,0.1193715027630815,0.0014007192630815096,0.8066613546,0.8029496465587926,-0.003711708041207351,0.0758671979,0.07767885067812585,0.0018116527781258523
382.0393033994,0.1855192563,0.18886674638354733,0.0033474900835473442,0.744499336,0.7391729485040124,-0.005326387495987572,0.0704913679,0.07196030511244028,0.0014689372124402772
384.4061699317,0.2608871182,0.26233466804630484,0.001447549846304852,0.6754741036,0.6717556591476914,-0.0037184444523086224,0.06412749,0.06590967280600374,0.0017821828060037431
386.8912512962,0.3387197875,0.3424729994228336,0.0037532119228336214,0.6035272244,0.5983218109462772,-0.005205413453722718,0.0577636122,0.059205189630889166,0.001441577430889164
389.2606877161,0.4165524568,0.4181441545249617,0.0015916977249616493,0.5325471448,0.529122823578425,-0.0034243212215749885,0.0513997344,0.05273302189661333,0.0013332874966133293
391.7483389682,0.4904541833,0.4939541684396384,0.003499985139638395,0.4645099602,0.4598482519531061,-0.004661708246893936,0.0450358566,0.04619757960725551,0.001161723007255512
394.1152055005,0.5594687915,0.5608602180872609,0.001391426587260991,0.4013705179,0.39870441221914543,-0.002666105680854569,0.0396494024,0.040435369693593626,0.0007859672935936271
396.4846419204,0.6221301461,0.6218641785167011,-0.00026596758329888726,0.3441062417,0.3429716198315365,-0.0011346218684634701,0.0342629482,0.03516420165176248,0.0009012534517624862
398.9697232849,0.6779282869,0.6791854706383637,0.0012571837383636986,0.2927065073,0.29065138147972625,-0.002055125820273729,0.02937583,0.030163147881910102,0.0007873178819101032
401.3391597048,0.7273625498,0.7276448421154575,0.00028229231545751077,0.2471925631,0.24644914772693838,-0.0007434153730616344,0.0254555113,0.025906010157604076,0.0004504988576040751
403.8242410693,0.7714209827,0.7723680331813524,0.0009470504813523517,0.2075431607,0.205656777002877,-0.0018863836971230175,0.0215458167,0.021975189815770624,0.0004293731157706225
406.1911076015,0.8095936255,0.8096635340203497,6.990852034971518e-05,0.1722921647,0.17163763543247476,-0.000654529267525239,0.0181142098,0.01869883054717547,0.0005846207471754718
408.5605440214,0.8428791501,0.8423890603054431,-0.0004900897945568916,0.1419495352,0.14180282409200196,-0.00014671110799804876,0.0151713147,0.015808115602554906,0.0006368009025549057
411.0456253859,0.8722549801,0.8723597209393029,0.00010474083930289702,0.1150278884,0.11450398038297843,-0.0005239080170215682,0.0127277556,0.013136298677718705,0.00040854307771870553
413.4150618058,0.8976998672,0.897301800911291,-0.00039806628870897587,0.0920265604,0.09179674985667743,-0.00022981054332256445,0.0107729084,0.010901449232031624,0.00012854083203162406
415.9001431703,0.9197237716,0.9201491956810456,0.00042542408104562224,0.0714687915,0.07100590437278262,-0.00046288712721738456,0.0088074369,0.00884489994617177,3.7463046171769265e-05
418.2695795902,0.9393041169,0.939219933465432,-8.418343456806365e-05,0.0538432935,0.05368383485195425,-0.00015945864804575022,0.0068525896,0.007096231682613752,0.00024364208261375142
420.7546609547,0.9564409031,0.9568048017226244,0.00036389862262442563,0.0381832669,0.03777507050120899,-0.0004081963987910067,0.0053864542,0.005420127776166628,3.3673576166627986e-05
423.1240973746,0.9716122178,0.9715688165695759,-4.340123042401167e-05,0.0244780876,0.02446711667390199,-1.0970926098009814e-05,0.0039203187,0.0039640667565220555,4.3748056522055837e-05
425.4909639068,0.9848286853,0.9845937304325318,-0.0002349548674681623,0.0127277556,0.012768842209923206,4.108660992320663e-05,0.0024541833,0.002637427357544908,0.00018324405754490802
427.978615159,0.9931474104,0.993230027887549,8.261748754900822e-05,0.0039203187,0.0037161519778771447,-0.00020416672212285498,0.0029428951,0.0030538201345738925,0.00011092503457389236
