profile,label,frequency_THz,order,harmonics,grid,epsilon_real,epsilon_imag,R_x,T_x,A_x,R0_x,T0_x,balance_x,polarization_delta_T,minimum_jacobian,elapsed_s,revision,R_y,T_y,A_y,R0_y,T0_y,balance_y,device,torch_version
weiss2009,matched coordinates + ASR,290.1606798804,12,625,256,-55.34576411954094,2.6270102664391213,0.11779884773121829,0.8709092231317689,0.011291929137012824,0.11779884773121829,0.8709092231317689,0.9887080708629872,1.5935031072444872e-12,5.101560566760088e-06,2.3991374189499766,weiss2009-v1-fixed-interface-eq41,0.11779884773180008,0.8709092231333624,0.011291929134837564,0.11779884773180008,0.8709092231333624,0.9887080708651624,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,292.5275464126,12,625,256,-54.43959360879721,2.563848312046004,0.12364450844697115,0.864553678104932,0.011801813448096832,0.12364450844697115,0.864553678104932,0.9881981865519032,2.988387315383534e-12,5.101560566760088e-06,2.4180490400176495,weiss2009-v1-fixed-interface-eq41,0.12364450844629438,0.8645536781079204,0.011801813445785236,0.12364450844629438,0.8645536781079204,0.9881981865542148,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,295.0151976648,12,625,256,-53.51052461726099,2.499625980368256,0.13021523156422107,0.8574184605291345,0.012366307906644392,0.13021523156422107,0.8574184605291345,0.9876336920933556,2.7180480088873082e-12,5.101560566760088e-06,2.432014173013158,weiss2009-v1-fixed-interface-eq41,0.13021523156254516,0.8574184605318526,0.012366307905602336,0.13021523156254516,0.8574184605318526,0.9876336920943978,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,297.382064197,12,625,256,-52.64806291205903,2.440497297438732,0.13691502862456761,0.8501665976767612,0.012918373698671215,0.13691502862456761,0.8501665976767612,0.9870816263013288,1.7430501486614958e-14,5.101560566760088e-06,2.456932745059021,weiss2009-v1-fixed-interface-eq41,0.13691502862345692,0.8501665976767786,0.012918373699764452,0.13691502862345692,0.8501665976767786,0.9870816263002355,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,299.8697154492,12,625,256,-51.763450988390815,2.38034355112801,0.14448597641646654,0.8420265733094835,0.013487450274049961,0.14448597641646654,0.8420265733094835,0.98651254972595,2.585376357444602e-12,5.101560566760088e-06,2.4400379229336977,weiss2009-v1-fixed-interface-eq41,0.14448597641736488,0.8420265733120689,0.013487450270566193,0.14448597641736488,0.8420265733120689,0.9865125497294338,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,302.2365819814,12,625,256,-50.941933439994926,2.324931381750815,0.15226501827397207,0.8337151238904382,0.014019857835589677,0.15226501827397207,0.8337151238904382,0.9859801421644103,7.977063454234212e-12,5.101560566760088e-06,2.4501880679745227,weiss2009-v1-fixed-interface-eq41,0.15226501827506786,0.8337151238824612,0.01401985784247095,0.15226501827506786,0.8337151238824612,0.985980142157529,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,304.6060184013,12,625,256,-50.138580289819835,2.271167916104143,0.1606685651879799,0.8247133758305892,0.01461805898143087,0.1606685651879799,0.8247133758305892,0.9853819410185691,2.8625990466935036e-12,5.101560566760088e-06,2.4081962149357423,weiss2009-v1-fixed-interface-eq41,0.1606685651863671,0.8247133758277266,0.01461805898590629,0.1606685651863671,0.8247133758277266,0.9853819410140937,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,307.0910997658,12,625,256,-49.31586557576967,2.216546138645037,0.17018146804322312,0.8144664398747312,0.015352092082045687,0.17018146804322312,0.8144664398747312,0.9846479079179543,1.149302875091962e-12,5.101560566760088e-06,2.4018751189578325,weiss2009-v1-fixed-interface-eq41,0.17018146804318465,0.8144664398735819,0.015352092083233404,0.17018146804318465,0.8144664398735819,0.9846479079167666,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,309.4605361857,12,625,256,-48.549775640035094,2.1660849058481086,0.1799826603145253,0.8038858436522912,0.016131496033183423,0.1799826603145253,0.8038858436522912,0.9838685039668165,1.4555023852835802e-13,5.101560566760088e-06,2.4286134220892563,weiss2009-v1-fixed-interface-eq41,0.17998266031655547,0.8038858436521457,0.01613149603129882,0.17998266031655547,0.8038858436521457,0.9838685039687012,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,311.9456175502,12,625,256,-47.76493033399451,2.114792574156757,0.19111521771612516,0.7918554132819152,0.017029369001959616,0.19111521771612516,0.7918554132819152,0.9829706309980404,5.960787419212465e-13,5.101560566760088e-06,2.4392772869905457,weiss2009-v1-fixed-interface-eq41,0.19111521771527046,0.7918554132825113,0.017029369002218298,0.19111521771527046,0.7918554132825113,0.9829706309977817,cuda,2.6.0+cu124
