wavelength_nm,order,slices,grid,epsilon_gold_real,epsilon_gold_imag,reflectance,transmittance_far,absorptance_total,motheye_absorptance,substrate_absorptance,power_into_substrate,passivity_warning,reduced_dimension,full_dimension,symmetry_reduction,symmetry_irrep,runtime_seconds
700.0,7,48,128,-13.754263491271207,1.9104862668338753,0.5073879263193727,0.0,0.4926120736806273,0.38446015650743637,0.10815191717319092,0.10815191717319092,False,57,450,D6-E1-source-row,E1,9.88703251001425
400.0,7,48,96,-1.0611633694991678,4.9206873818569425,7.271194704413805e-05,0.0,0.9999272880529558,0.9718925235993059,0.028034764453649896,0.028034764453649896,False,57,450,D6-E1-source-row,E1,10.095824847987387
550.0,7,48,96,-5.371371338856619,2.3581635829859637,0.03524989941172613,0.0,0.9647501005882739,0.8414387197088461,0.12331138087942779,0.12331138087942779,False,57,450,D6-E1-source-row,E1,9.536411423003301
700.0,7,48,96,-13.754263491271207,1.9104862668338753,0.5058230003891842,0.0,0.49417699961081585,0.3880700303386936,0.10610696927212226,0.10610696927212226,False,57,450,D6-E1-source-row,E1,9.698304368997924
400.0,7,48,192,-1.0611633694991678,4.9206873818569425,6.999216125434742e-05,0.0,0.9999300078387456,0.9719088847394246,0.02802112309932106,0.02802112309932106,False,57,450,D6-E1-source-row,E1,9.673637030995451
550.0,7,48,192,-5.371371338856619,2.3581635829859637,0.034863825909933,0.0,0.965136174090067,0.8414814869119697,0.12365468717809733,0.12365468717809733,False,57,450,D6-E1-source-row,E1,9.698477738973452
700.0,7,48,192,-13.754263491271207,1.9104862668338753,0.5031430109673594,0.0,0.49685698903264064,0.3896354591774194,0.10722152985522129,0.10722152985522129,False,57,450,D6-E1-source-row,E1,9.776112801977433
400.0,7,48,256,-1.0611633694991678,4.9206873818569425,7.332787719674819e-05,0.0,0.9999266721228033,0.971919773908628,0.028006898214175253,0.028006898214175253,False,57,450,D6-E1-source-row,E1,9.916720929992152
550.0,7,48,256,-5.371371338856619,2.3581635829859637,0.03510372298420866,0.0,0.9648962770157914,0.8412146502920248,0.12368162672376663,0.12368162672376663,False,57,450,D6-E1-source-row,E1,9.48902811500011
700.0,7,48,256,-13.754263491271207,1.9104862668338753,0.5009917291437547,0.0,0.49900827085624533,0.39167596167739915,0.10733230917884617,0.10733230917884617,False,57,450,D6-E1-source-row,E1,9.666691445978358
400.0,7,12,256,-1.0611633694991678,4.9206873818569425,4.035819067193506e-05,0.0,0.9999596418093281,0.977488942710909,0.022470699098419027,0.022470699098419027,False,57,450,D6-E1-source-row,E1,2.5208899120043498
550.0,7,12,256,-5.371371338856619,2.3581635829859637,0.006282222479666216,0.0,0.9937177775203337,0.9252382712379927,0.068479506282341,0.068479506282341,False,57,450,D6-E1-source-row,E1,2.3510326629912015
700.0,7,12,256,-13.754263491271207,1.9104862668338753,0.33204055411422206,0.0,0.6679594458857779,0.5658396130286723,0.10211983285710571,0.10211983285710571,False,57,450,D6-E1-source-row,E1,2.3681686659983825
400.0,7,16,256,-1.0611633694991678,4.9206873818569425,4.667519938054671e-05,0.0,0.9999533248006195,0.9754893957136247,0.024463929086994823,0.024463929086994823,False,57,450,D6-E1-source-row,E1,3.1988032790250145
550.0,7,16,256,-5.371371338856619,2.3581635829859637,0.017756513909965632,0.0,0.9822434860900344,0.8888097869088082,0.09343369918122628,0.09343369918122628,False,57,450,D6-E1-source-row,E1,3.14272939399234
700.0,7,16,256,-13.754263491271207,1.9104862668338753,0.3719711813229261,0.0,0.6280288186770739,0.5314282152547558,0.0966006034223181,0.0966006034223181,False,57,450,D6-E1-source-row,E1,3.206284510990372
400.0,7,24,256,-1.0611633694991678,4.9206873818569425,6.011492685803121e-05,0.0,0.999939885073142,0.9734852369256841,0.02645464814745796,0.02645464814745796,False,57,450,D6-E1-source-row,E1,4.836720948020229
550.0,7,24,256,-5.371371338856619,2.3581635829859637,0.02874823503462262,0.0,0.9712517649653774,0.8584061185695708,0.11284564639580653,0.11284564639580653,False,57,450,D6-E1-source-row,E1,4.851733076007804
700.0,7,24,256,-13.754263491271207,1.9104862668338753,0.43548808583369564,0.0,0.5645119141663044,0.46223542407922624,0.10227649008707815,0.10227649008707815,False,57,450,D6-E1-source-row,E1,4.825657345994841
400.0,7,32,256,-1.0611633694991678,4.9206873818569425,6.400117697847339e-05,0.0,0.9999359988230215,0.9726373720564612,0.02729862676656037,0.02729862676656037,False,57,450,D6-E1-source-row,E1,6.327773122000508
550.0,7,32,256,-5.371371338856619,2.3581635829859637,0.03216413351421638,0.0,0.9678358664857836,0.8484900939195842,0.11934577256619934,0.11934577256619934,False,57,450,D6-E1-source-row,E1,6.6785218289878685
700.0,7,32,256,-13.754263491271207,1.9104862668338753,0.47163802178225267,0.0,0.5283619782177473,0.4225655835814192,0.10579639463632812,0.10579639463632812,False,57,450,D6-E1-source-row,E1,8.065795550995972
400.0,3,48,256,-1.0611633694991678,4.9206873818569425,0.0003854164306399879,0.0,0.9996145835693601,0.9722202557476387,0.02739432782172137,0.02739432782172137,False,13,98,D6-E1-source-row,E1,3.147000490978826
550.0,3,48,256,-5.371371338856619,2.3581635829859637,0.050042207594056684,0.0,0.9499577924059434,0.8342786857718992,0.11567910663404414,0.11567910663404414,False,13,98,D6-E1-source-row,E1,3.13944487698609
700.0,3,48,256,-13.754263491271207,1.9104862668338753,0.4769581434603559,0.0,0.5230418565396441,0.40946397412878405,0.11357788241086003,0.11357788241086003,False,13,98,D6-E1-source-row,E1,3.1361175490019377
400.0,4,48,256,-1.0611633694991678,4.9206873818569425,3.353280825309026e-05,0.0,0.9999664671917469,0.9724393088359913,0.02752715835575563,0.02752715835575563,False,21,162,D6-E1-source-row,E1,4.531657162995543
