study,method,factorization_rules,frequency_GHz,wavelength_mm,order_x,order_y,harmonics,modal_dimension,grid_x,grid_y,quadrature_grid,asr_G,cascade,dtype,device,propagating_orders_air,R00,T00,R_total,T_total,delta_R,delta_T,A_total,power_balance,passivity_violation,cond_T,elapsed_s,numerics_revision
fig8,ASR-FR,True,9.5,31.557100842105264,8,8,289,578,256,256,4096,0.001,redheffer,complex128,cuda,1,0.7500538412159122,0.21248785565210623,0.7500538412159122,0.21248785565210623,0.0,0.0,0.03745830313198151,0.9625416968680185,0.0,,0.1516149581875652,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,9.52,31.49080441176471,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.7265522618850503,0.23689357311784176,0.7265522618850503,0.23689357311784176,0.0,0.0,0.03655416499710795,0.963445835002892,0.0,,0.16097477194853127,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,9.68,30.970295247933887,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.509499301952234,0.4621278202270787,0.509499301952234,0.4621278202270787,0.0,0.0,0.028372877820687314,0.9716271221793127,0.0,,0.16281770588830113,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,9.84,30.466713211382114,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.27311470848656416,0.70692264243139,0.27311470848656416,0.70692264243139,0.0,0.0,0.019962649082045814,0.9800373509179542,0.0,,0.16031237412244081,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,10.0,29.9792458,8,8,289,578,256,256,4096,0.001,redheffer,complex128,cuda,5,0.024935694778088775,0.8478610683660124,0.08377521964895374,0.9067555668527569,0.05883952487086496,0.05889449848674455,0.00946921349828933,0.9905307865017107,0.0,,0.15295623312704265,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,10.0,29.9792458,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,5,0.024935694778090614,0.8478610683659954,0.08377521964895134,0.9067555668527384,0.05883952487086072,0.058894498486743,0.009469213498310314,0.9905307865016897,0.0,,0.16200829716399312,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,10.16,29.507131692913386,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,5,0.0607366349038979,0.5803082343647786,0.23771466294704252,0.7574101057343753,0.1769780280431446,0.17710187136959665,0.0048752313185822516,0.9951247686814177,0.0,,0.16278805094771087,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,10.32,29.049656782945736,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,5,0.08153284858396113,0.5134868709867644,0.28208498848070807,0.7141875177543595,0.20055213989674692,0.20070064676759514,0.0037274937649324213,0.9962725062350676,0.0,,0.16021608910523355,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,10.48,28.606150572519084,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,5,0.0956420580962431,0.4778837680196252,0.3071935956777547,0.6896014041982472,0.21155153758151163,0.21171763617862205,0.0032050001239980475,0.996794999876002,0.0,,0.16310338606126606,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,10.5,28.55166266666667,8,8,289,578,256,256,4096,0.001,redheffer,complex128,cuda,5,0.09710275769984598,0.4745088679219562,0.30963218618446475,0.6872063513564218,0.21252942848461875,0.21269748343446565,0.0031614624591134177,0.9968385375408866,0.0,,0.15458815288729966,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,10.64,28.17598289473684,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,5,0.10596946068598394,0.455025919552251,0.32391188506610274,0.6731491779547716,0.2179424243801188,0.21812325840252056,0.002938936979125728,0.9970610630208743,0.0,,0.16076121991500258,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,10.8,27.758560925925924,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,5,0.11388895221797374,0.4388680104269293,0.33601221887099153,0.6611854125981372,0.2221232666530178,0.22231740217120793,0.0028023685308712354,0.9971976314691288,0.0,,0.1607400479260832,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,10.96,27.353326459854014,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,5,0.1201618281129447,0.426759741817545,0.3452278690813331,0.6520324293199555,0.22506604096838845,0.22527268750241053,0.002739701598711397,0.9972602984012886,0.0,,0.16213429695926607,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,11.0,27.25385981818182,8,8,289,578,256,256,4096,0.001,redheffer,complex128,cuda,5,0.12153135037918048,0.4241902191643764,0.3471997166654134,0.6500682800799096,0.2256683662862329,0.2258780609155332,0.00273200325467704,0.997267996745323,0.0,,0.1517801859881729,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,11.120000000000001,26.959753417266185,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,5,0.1252519003798164,0.41734242120044573,0.3524836966159713,0.6447929265769895,0.2272317962361549,0.22745050537654377,0.0027233768070391573,0.9972766231929608,0.0,,0.16525695705786347,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,11.28,26.57734556737589,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,5,0.1294603621849125,0.40984851156091057,0.3583213086137741,0.6389399839078034,0.2288609464288616,0.2290914723468928,0.0027387074784225307,0.9972612925215775,0.0,,0.16536936606280506,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,11.44,26.205634440559443,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,5,0.13299185820741186,0.40381726312642025,0.3630773943909159,0.6341450262237301,0.23008553618350405,0.2303277630973099,0.0027775793853539454,0.997222420614646,0.0,,0.1594766469206661,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,11.5,26.06890939130435,8,8,289,578,256,256,4096,0.001,redheffer,complex128,cuda,5,0.13417239392357624,0.40187049929497554,0.3646290275631059,0.6325737369486204,0.23045663363952965,0.23070323765364487,0.0027972354882737083,0.9972027645117263,0.0,,0.15055752219632268,fig8-v2-q-modes-separable-quadrature
